dataset,system,method,n,mean_macro_f1,ci95_macro_f1,mean_fault_source_f1,ci95_fault_source_f1,mean_far,mean_top1,mean_top2,mean_mrr,mean_probe_seconds,mean_ae_seconds,mean_ae_infer_ms
synthetic,diagnostic_signature_only_hier,HRA-Core signature,25,0.718130691974443,0.032621250742931034,0.8747446886566003,0.03030700696173764,0.5064,0.556,0.6049142857142857,0.6497601360544217,0.04667795600005771,,
synthetic,residual_summaries_only_hier,Residual summaries,25,0.5879069779513041,0.028425893086926883,0.7541503583604794,0.02839795649125858,0.5576,0.556,0.6049142857142857,0.6497601360544217,0.03736924400000129,,
synthetic,attribution_scores_only_hier,Attribution scores,25,0.27721310303024016,0.009092636510341045,0.49460308254709934,0.013760918446967068,0.6024,0.556,0.6049142857142857,0.6497601360544217,0.030027131999886426,,
synthetic,indices_only_hier,Indices only,25,0.5557642165087222,0.02636879479447013,0.696198179652354,0.02793289218939802,0.5568,0.556,0.6049142857142857,0.6497601360544217,0.03359473200005591,,
synthetic,hra_plus_spectral_hier,HRA+spectral,25,0.7802357248646129,0.02812993650984814,0.9032320961679592,0.022753946298969888,0.4576,0.556,0.6049142857142857,0.6497601360544217,0.04102600400023216,,
uci_har,diagnostic_signature_only_hier,HRA-Core signature,25,0.6211907702151145,0.01978310014981207,0.8803544291705135,0.017779257632098103,0.7112000000000002,0.6142857142857142,0.7250285714285714,0.7367790476190477,0.03676122799995933,,
uci_har,residual_summaries_only_hier,Residual summaries,25,0.4990542856346521,0.013296163787691754,0.7398148401905981,0.017377061931635983,0.7056,0.6142857142857142,0.7250285714285714,0.7367790476190477,0.02794131600006944,,
uci_har,attribution_scores_only_hier,Attribution scores,25,0.48637390466913466,0.008094576958308114,0.6794914511372409,0.008369170657194624,0.7143999999999999,0.6142857142857142,0.7250285714285714,0.7367790476190477,0.024535479999758473,,
uci_har,indices_only_hier,Indices only,25,0.606667391816943,0.016865110981122602,0.8489289937155432,0.01788888680900184,0.684,0.6142857142857142,0.7250285714285714,0.7367790476190477,0.0265552479999314,,
uci_har,hra_plus_spectral_hier,HRA+spectral,25,0.6551452526555184,0.01652988698703398,0.9065698389555243,0.013490634951425598,0.7704000000000001,0.6142857142857142,0.7250285714285714,0.7367790476190477,0.04082022399990815,,
air_quality,diagnostic_signature_only_hier,HRA-Core signature,25,0.5623798553018683,0.02583008363043186,0.706590423652425,0.024979244919997173,0.47600000000000003,0.3540571428571429,0.5078857142857143,0.5342632653061226,0.03714613599993749,,
air_quality,residual_summaries_only_hier,Residual summaries,25,0.5608852163007646,0.017722022330003893,0.7051365295057269,0.015818211784146434,0.48,0.3540571428571429,0.5078857142857143,0.5342632653061226,0.02931994399987157,,
air_quality,attribution_scores_only_hier,Attribution scores,25,0.29748160251696537,0.010557336838025778,0.4844387454236125,0.01580281620963777,0.6855999999999999,0.3540571428571429,0.5078857142857143,0.5342632653061226,0.024275255999818866,,
air_quality,indices_only_hier,Indices only,25,0.3980215394410643,0.017794730408546258,0.5833864276801102,0.01034364309751727,0.8992,0.3540571428571429,0.5078857142857143,0.5342632653061226,0.02697863599998523,,
air_quality,hra_plus_spectral_hier,HRA+spectral,25,0.5538017268751493,0.0285424862739048,0.6985526255606034,0.025429938458995917,0.6112,0.3540571428571429,0.5078857142857143,0.5342632653061226,0.049909211999765786,,
