dataset,system,method,n,mean_macro_f1,ci95_macro_f1,mean_fault_source_f1,ci95_fault_source_f1,mean_far,mean_top1,mean_top2,mean_mrr,mean_probe_seconds,mean_ae_seconds,mean_ae_infer_ms
synthetic,statistical_hier,Statistical,25,0.5656718435020798,0.02736800319149258,0.7668885716405265,0.028899749648494195,0.5488000000000001,0.16868571428571422,0.2857142857142857,0.3680468027210885,0.040741651999633144,,
synthetic,spectral_hier,Spectral,25,0.6722016533876207,0.025132596364646254,0.7625149074736121,0.02351063460818125,0.4904,0.11885714285714279,0.2502857142857142,0.33466326530612245,0.04238248799985737,,
synthetic,stat_spectral_hier,Stat.+spectral,25,0.6993202981562924,0.02549046880284177,0.8002380100615335,0.02365632015108896,0.4656,0.16868571428571422,0.2857142857142857,0.3680468027210885,0.047619791999895786,,
synthetic,tuned_tcn_ae_hier,Tuned TCN-AE,25,0.35917329289413563,0.010308449775924341,0.4961588254027529,0.012761586577667208,0.6352,0.4619428571428571,0.6051428571428572,0.6221866666666667,0.02691613600021806,51.84781152800002,0.045818540351064474
synthetic,tuned_usad_ae_hier,Tuned USAD-like AE,25,0.5665856389689095,0.03515858933823134,0.7175139723413373,0.03477307465255604,0.35440000000000005,0.7890285714285714,0.8821714285714287,0.8662578231292515,0.026555247999713125,2.183524655999645,0.040953410526095704
synthetic,gru_ae_hier,GRU-AE,25,0.3921393410035685,0.015236528256847955,0.5513941402129557,0.017312209547604526,0.7208,0.3176,0.3883428571428571,0.4608855782312925,0.028349856000204406,3.0595873680007935,0.0507630210527726
synthetic,hra_plus_spectral_hier,HRA+spectral,25,0.7802357248646129,0.02812993650984814,0.9032320961679592,0.022753946298969888,0.4576,0.556,0.6049142857142857,0.6497601360544217,0.04102600400023216,,
uci_har,statistical_hier,Statistical,25,0.5571095905004384,0.0158079898262836,0.8279676794987472,0.019494084322542175,0.7559999999999999,0.21748571428571423,0.3601142857142856,0.43545904761904763,0.03026611199995382,,
uci_har,spectral_hier,Spectral,25,0.5709468711457533,0.01279887748645069,0.7980708759140444,0.013357779999224833,0.7607999999999998,0.18457142857142855,0.3394285714285714,0.41853333333333337,0.03614367199974363,,
uci_har,stat_spectral_hier,Stat.+spectral,25,0.6314192419332832,0.016169449870903435,0.8751821633948913,0.01445424627872087,0.7655999999999998,0.21748571428571423,0.3601142857142856,0.43545904761904763,0.036547480000153836,,
uci_har,tuned_tcn_ae_hier,Tuned TCN-AE,25,0.3634425838167477,0.005446169895071238,0.557920337587192,0.005758611882296454,0.8672,0.3570285714285714,0.5207999999999999,0.5562552380952381,0.026446304000128245,94.59328161199984,0.0335940934380081
uci_har,tuned_usad_ae_hier,Tuned USAD-like AE,25,0.3361918509598187,0.013115225759939822,0.5154567162166059,0.014915258863589404,0.7704000000000001,0.25257142857142856,0.38160000000000005,0.4544609523809524,0.02679834799972008,2.9479986040001678,0.029933974499883727
uci_har,gru_ae_hier,GRU-AE,25,0.4050835143502878,0.011390541461210189,0.6022278265749018,0.01804441675026587,0.8016000000000001,0.17142857142857137,0.3129142857142857,0.39345333333333327,0.02682131199995634,5.367944676000189,0.03917010521755428
uci_har,hra_plus_spectral_hier,HRA+spectral,25,0.6551452526555184,0.01652988698703398,0.9065698389555243,0.013490634951425598,0.7704000000000001,0.6142857142857142,0.7250285714285714,0.7367790476190477,0.04082022399990815,,
air_quality,statistical_hier,Statistical,25,0.3940442025392122,0.013534967957488273,0.5762678910720419,0.016274215865786285,0.47200000000000003,0.15839999999999996,0.27645714285714285,0.36571768707482993,0.0331076840004243,,
air_quality,spectral_hier,Spectral,25,0.39951873975942204,0.017128538301313227,0.5876122813071963,0.020019467173378394,0.7232000000000001,0.1337142857142857,0.26457142857142857,0.3477374149659863,0.043752396000054386,,
air_quality,stat_spectral_hier,Stat.+spectral,25,0.460653515613288,0.016474824469441852,0.6474868300780158,0.023608764545289294,0.7111999999999999,0.15839999999999996,0.27645714285714285,0.36571768707482993,0.04496813599980665,,
air_quality,tuned_tcn_ae_hier,Tuned TCN-AE,25,0.5080628093567952,0.02835720263271122,0.6289479592612287,0.022887666677939518,0.45439999999999997,0.6662857142857144,0.8075428571428571,0.7854085714285713,0.02645353199928645,6.514474659999541,0.0336805405408282
air_quality,tuned_usad_ae_hier,Tuned USAD-like AE,25,0.341637521844959,0.010605043128711234,0.522257626644803,0.012047819461823966,0.8008,0.29554285714285716,0.41954285714285716,0.4726723809523809,0.027273404000152327,0.6350648239998554,0.03037027027048921
air_quality,gru_ae_hier,GRU-AE,25,0.3054824289791076,0.008609744102732733,0.4768903986481229,0.012489779107737638,0.7856000000000001,0.1578285714285714,0.27085714285714285,0.3586133333333334,0.0266938599996501,0.603780412000633,0.03655881945993999
air_quality,hra_plus_spectral_hier,HRA+spectral,25,0.5538017268751493,0.0285424862739048,0.6985526255606034,0.025429938458995917,0.6112,0.3540571428571429,0.5078857142857143,0.5342632653061226,0.049909211999765786,,
