dataset,system,method,n,mean_macro_f1,ci95_macro_f1,mean_fault_source_f1,ci95_fault_source_f1,mean_far,mean_top1,mean_top2,mean_mrr,mean_probe_seconds,mean_ae_seconds,mean_ae_infer_ms
synthetic,statistical_flat,Statistical flat,25,0.5695196780861835,0.026385304804726162,0.7750987734158383,0.027566183161637076,0.7896,0.16868571428571422,0.2857142857142857,0.3680468027210885,0.01859020000003506,,
synthetic,statistical_hier,Statistical,25,0.5656718435020798,0.02736800319149258,0.7668885716405265,0.028899749648494195,0.5488000000000001,0.16868571428571422,0.2857142857142857,0.3680468027210885,0.040741651999633144,,
synthetic,spectral_flat,Spectral flat,25,0.6686544235118884,0.02404004641831523,0.7623370850637334,0.02145226159228273,0.35119999999999996,0.11885714285714279,0.2502857142857142,0.33466326530612245,0.025146555999744982,,
synthetic,spectral_hier,Spectral,25,0.6722016533876207,0.025132596364646254,0.7625149074736121,0.02351063460818125,0.4904,0.11885714285714279,0.2502857142857142,0.33466326530612245,0.04238248799985737,,
synthetic,hra_plus_spectral_flat,HRA+spectral flat,25,0.7798161325665219,0.02499461918069613,0.899328601167702,0.020394371609521917,0.2696,0.556,0.6049142857142857,0.6497601360544217,0.029476032000820808,,
synthetic,hra_plus_spectral_hier,HRA+spectral,25,0.7802357248646129,0.02812993650984814,0.9032320961679592,0.022753946298969888,0.4576,0.556,0.6049142857142857,0.6497601360544217,0.04102600400023216,,
uci_har,statistical_flat,Statistical flat,25,0.5505714017654616,0.015684842951197108,0.8376582186169931,0.02039122002568882,0.9567999999999999,0.21748571428571423,0.3601142857142856,0.43545904761904763,0.013409504000010158,,
uci_har,statistical_hier,Statistical,25,0.5571095905004384,0.0158079898262836,0.8279676794987472,0.019494084322542175,0.7559999999999999,0.21748571428571423,0.3601142857142856,0.43545904761904763,0.03026611199995382,,
uci_har,spectral_flat,Spectral flat,25,0.5915287513241655,0.01359544711643405,0.8129546312926615,0.012399442913371783,0.7528,0.18457142857142855,0.3394285714285714,0.41853333333333337,0.02820353600036464,,
uci_har,spectral_hier,Spectral,25,0.5709468711457533,0.01279887748645069,0.7980708759140444,0.013357779999224833,0.7607999999999998,0.18457142857142855,0.3394285714285714,0.41853333333333337,0.03614367199974363,,
uci_har,hra_plus_spectral_flat,HRA+spectral flat,25,0.6727408427182138,0.018352840589217885,0.9058438026106755,0.012687445607043633,0.6951999999999998,0.6142857142857142,0.7250285714285714,0.7367790476190477,0.039131519999937116,,
uci_har,hra_plus_spectral_hier,HRA+spectral,25,0.6551452526555184,0.01652988698703398,0.9065698389555243,0.013490634951425598,0.7704000000000001,0.6142857142857142,0.7250285714285714,0.7367790476190477,0.04082022399990815,,
air_quality,statistical_flat,Statistical flat,25,0.38039275737570577,0.015076284433679057,0.566433191367655,0.01509967110893132,0.5559999999999999,0.15839999999999996,0.27645714285714285,0.36571768707482993,0.016402303999930118,,
air_quality,statistical_hier,Statistical,25,0.3940442025392122,0.013534967957488273,0.5762678910720419,0.016274215865786285,0.47200000000000003,0.15839999999999996,0.27645714285714285,0.36571768707482993,0.0331076840004243,,
air_quality,spectral_flat,Spectral flat,25,0.4098710406201435,0.020807412642260006,0.6056340577985005,0.020958514068952556,0.8096,0.1337142857142857,0.26457142857142857,0.3477374149659863,0.03922189199991403,,
air_quality,spectral_hier,Spectral,25,0.39951873975942204,0.017128538301313227,0.5876122813071963,0.020019467173378394,0.7232000000000001,0.1337142857142857,0.26457142857142857,0.3477374149659863,0.043752396000054386,,
air_quality,hra_plus_spectral_flat,HRA+spectral flat,25,0.5464132094708725,0.022466952796196663,0.690966202713249,0.02079840728190304,0.6631999999999999,0.3540571428571429,0.5078857142857143,0.5342632653061226,0.05873922799917633,,
air_quality,hra_plus_spectral_hier,HRA+spectral,25,0.5538017268751493,0.0285424862739048,0.6985526255606034,0.025429938458995917,0.6112,0.3540571428571429,0.5078857142857143,0.5342632653061226,0.049909211999765786,,
