dataset,metric,method_a,method_b,mean_diff,ci95_half_width,ci_low_normal,ci_high_normal,wins,ties,losses,n
synthetic,top1,HRA-SL (HGB),Tuned TCN-AE,0.45371428571428574,0.020340671899751323,0.43337361381453443,0.47405495761403704,25,0,0,25
synthetic,top2,HRA-SL (HGB),Tuned TCN-AE,0.35908571428571434,0.012441245811145005,0.3466444684745693,0.37152696009685937,25,0,0,25
synthetic,mrr,HRA-SL (HGB),Tuned TCN-AE,0.3276810992368063,0.012357474546227352,0.3153236246905789,0.34003857378303365,25,0,0,25
synthetic,top1,HRA-SL (HGB),Tuned USAD-like AE,0.1266285714285714,0.009974290150181113,0.11665428127839028,0.1366028615787525,25,0,0,25
synthetic,top2,HRA-SL (HGB),Tuned USAD-like AE,0.08205714285714288,0.009216041666572472,0.07284110119057041,0.09127318452371536,25,0,0,25
synthetic,mrr,HRA-SL (HGB),Tuned USAD-like AE,0.08360994277422126,0.007228507385441856,0.07638143538877941,0.09083845015966312,25,0,0,25
synthetic,top1,HRA-SL (HGB),AE-only HGB,-0.00274285714285714,0.005632386350384709,-0.00837524349324185,0.0028895292075275685,9,2,14,25
synthetic,top2,HRA-SL (HGB),AE-only HGB,0.006857142857142886,0.005553137251440255,0.0013040056057026309,0.012410280108583142,17,1,7,25
synthetic,mrr,HRA-SL (HGB),AE-only HGB,0.0007838106155395863,0.0038988397305508653,-0.003115029115011279,0.0046826503460904514,13,0,12,25
uci_har,top1,HRA-SL (HGB),Tuned TCN-AE,0.3570285714285715,0.013340386401200433,0.34368818502737103,0.3703689578297719,25,0,0,25
uci_har,top2,HRA-SL (HGB),Tuned TCN-AE,0.2974857142857143,0.00816218010092892,0.2893235341847854,0.3056478943866432,25,0,0,25
uci_har,mrr,HRA-SL (HGB),Tuned TCN-AE,0.25556572194962274,0.007897478759122762,0.2476682431905,0.2634632007087455,25,0,0,25
uci_har,top1,HRA-SL (HGB),Tuned USAD-like AE,0.4614857142857144,0.00898981705412667,0.45249589723158773,0.47047553133984105,25,0,0,25
uci_har,top2,HRA-SL (HGB),Tuned USAD-like AE,0.43668571428571434,0.00875154173084186,0.4279341725548725,0.4454372560165562,25,0,0,25
uci_har,mrr,HRA-SL (HGB),Tuned USAD-like AE,0.35736000766390846,0.006705074265632815,0.35065493339827564,0.3640650819295413,25,0,0,25
uci_har,top1,HRA-SL (HGB),AE-only HGB,-0.0015999999999999882,0.008712035506508606,-0.010312035506508594,0.007112035506508617,13,0,12,25
uci_har,top2,HRA-SL (HGB),AE-only HGB,0.0038857142857142836,0.0063593911658271175,-0.002473676880112834,0.0102451054515414,13,0,12,25
uci_har,mrr,HRA-SL (HGB),AE-only HGB,-0.0003714132308959961,0.0048414829660338565,-0.0052128961969298525,0.0044700697351378604,12,0,13,25
air_quality,top1,HRA-SL (HGB),Tuned TCN-AE,0.04845714285714285,0.014835526369720308,0.03362161648742254,0.06329266922686316,23,0,2,25
air_quality,top2,HRA-SL (HGB),Tuned TCN-AE,0.04194285714285714,0.011461637346673758,0.030481219796183387,0.0534044944895309,23,0,2,25
air_quality,mrr,HRA-SL (HGB),Tuned TCN-AE,0.03650980644771033,0.008880214301164636,0.027629592146545697,0.045390020748874965,24,0,1,25
air_quality,top1,HRA-SL (HGB),Tuned USAD-like AE,0.4192,0.028412334598433363,0.3907876654015667,0.44761233459843336,25,0,0,25
air_quality,top2,HRA-SL (HGB),Tuned USAD-like AE,0.4299428571428572,0.01967484376896887,0.4102680133738883,0.44961770091182607,25,0,0,25
air_quality,mrr,HRA-SL (HGB),Tuned USAD-like AE,0.3492459969239008,0.01857848100053918,0.33066751592336163,0.36782447792443995,25,0,0,25
air_quality,top1,HRA-SL (HGB),AE-only HGB,0.06285714285714285,0.016272152080574143,0.046584990776568705,0.07912929493771699,22,0,3,25
air_quality,top2,HRA-SL (HGB),AE-only HGB,0.029028571428571414,0.006794871791775524,0.02223369963679589,0.03582344322034694,25,0,0,25
air_quality,mrr,HRA-SL (HGB),AE-only HGB,0.03855755805969238,0.008527949306418236,0.030029608753274144,0.04708550736611062,23,0,2,25
