dataset,ranking_method,supervision,cells,n,top1,top2,mrr,mean_rank
synthetic,HRA-SL (HGB),supervised target-channel labels,25,8750,0.9156571428571428,0.9642285714285715,0.9498677659034729,1.1504000091552735
synthetic,HRA attribution ranking,unsupervised residual-attribution ranking,25,1250,0.556,0.6049142857142857,0.6497601360544217,3.170514285714286
synthetic,Tuned TCN-AE,unsupervised reconstruction ranking,25,1250,0.4619428571428571,0.6051428571428572,0.6221866666666667,2.7281142857142857
synthetic,Tuned USAD-like AE,unsupervised reconstruction ranking,25,1250,0.7890285714285714,0.8821714285714287,0.8662578231292515,1.466857142857143
uci_har,HRA-SL (HGB),supervised target-channel labels,25,8750,0.7140571428571428,0.8182857142857144,0.8118209600448608,1.6956571388244628
uci_har,HRA attribution ranking,unsupervised residual-attribution ranking,25,1250,0.6142857142857142,0.7250285714285714,0.7367790476190477,2.046057142857143
uci_har,Tuned TCN-AE,unsupervised reconstruction ranking,25,1250,0.3570285714285714,0.5207999999999999,0.5562552380952381,2.7742857142857145
uci_har,Tuned USAD-like AE,unsupervised reconstruction ranking,25,1250,0.25257142857142856,0.38160000000000005,0.4544609523809524,3.487771428571429
air_quality,HRA-SL (HGB),supervised target-channel labels,25,8750,0.7147428571428571,0.8494857142857143,0.8219183778762817,1.5996571445465089
air_quality,HRA attribution ranking,unsupervised residual-attribution ranking,25,1250,0.3540571428571429,0.5078857142857143,0.5342632653061226,3.3144
air_quality,Tuned TCN-AE,unsupervised reconstruction ranking,25,1250,0.6662857142857144,0.8075428571428571,0.7854085714285713,1.7914285714285711
air_quality,Tuned USAD-like AE,unsupervised reconstruction ranking,25,1250,0.29554285714285716,0.41954285714285716,0.4726723809523809,3.8355428571428574
