system,family,probe,classifier,threshold_mode,source_group_macro_f1,source_group_weighted_f1,normal_f1,sensor_local_f1,process_f1,fault_source_macro_f1,binary_roc_auc,binary_pr_auc,binary_f1_train_threshold,false_alarm_rate_train_threshold,probe_train_seconds,selected_threshold,notes,localization_top1,localization_top2,localization_mrr,localization_mean_rank,dataset,seed,severity,n_train_per_class,n_test_per_class,split_protocol,ae_kind,selected_lr,selected_hidden,selected_latent,best_epoch,selected_epoch_budget,best_val_loss,ae_train_seconds,device,n_calibration_train,n_calibration_val,ae_feature_infer_ms_per_window
statistical_flat,baseline,flat,logistic,train_f1,0.5023203526493001,0.6388205889302381,0.34375,0.7070707070707071,0.4561403508771929,0.6828806710654186,0.75,0.9624095477402228,0.9214026602176542,0.92,0.0193977999988419,0.1064782754308103,,0.1514285714285714,0.2857142857142857,0.3588197278911564,4.5,synthetic,0,0.75,50,50,independent synthetic generation,,,,,,,,,,,,
statistical_hier,baseline,hier,logistic,train_f1,0.503346207698628,0.6476051759216545,0.3478260869565217,0.7197346600331676,0.4424778761061947,0.6753874096688179,0.7286500000000001,0.9580076998092256,0.8324022346368715,0.36,0.0361011999993934,0.4524617661515079,,0.1514285714285714,0.2857142857142857,0.3588197278911564,4.5,synthetic,0,0.75,50,50,independent synthetic generation,,,,,,,,,,,,
spectral_flat,baseline,flat,logistic,train_f1,0.593570570396817,0.7758253832653196,0.4807692307692308,0.8669527896995708,0.4329896907216495,0.6834639790966779,0.8357,0.97422138000832,0.9281210592686002,0.5,0.0222167000010813,0.6044862515875471,,0.1228571428571428,0.2628571428571428,0.3428605442176871,4.474285714285714,synthetic,0,0.75,50,50,independent synthetic generation,,,,,,,,,,,,
spectral_hier,baseline,hier,logistic,train_f1,0.5660986525853762,0.7656759724984079,0.4578313253012048,0.8654646324549237,0.375,0.6476297125793207,0.8419,0.975332963533396,0.944920440636475,0.62,0.0374059999994642,0.2537416059753817,,0.1228571428571428,0.2628571428571428,0.3428605442176871,4.474285714285714,synthetic,0,0.75,50,50,independent synthetic generation,,,,,,,,,,,,
stat_spectral_hier,baseline,hier,logistic,train_f1,0.61604097279521,0.7952683963871227,0.4516129032258064,0.8848821081830791,0.5116279069767442,0.7264021887824897,0.8305,0.974429537423134,0.9368029739776952,0.58,0.0390302000014344,0.2714542230678338,,0.1514285714285714,0.2857142857142857,0.3588197278911564,4.5,synthetic,0,0.75,50,50,independent synthetic generation,,,,,,,,,,,,
diagnostic_signature_only_hier,feature_block_ablation,hier,logistic,train_f1,0.6158303803449091,0.7675257894322388,0.46,0.8433734939759037,0.5441176470588235,0.7368898566503357,0.8322,0.9746274266968424,0.9325,0.54,0.0395908999998937,0.2371569927478893,,0.4885714285714285,0.5428571428571428,0.5979591836734693,3.44,synthetic,0,0.75,50,50,independent synthetic generation,,,,,,,,,,,,
residual_summaries_only_hier,feature_block_ablation,hier,logistic,train_f1,0.4920375106564365,0.6607445296959363,0.3043478260869565,0.7450980392156863,0.4266666666666667,0.6612466124661247,0.7342500000000001,0.9578430179984116,0.8740157480314961,0.58,0.0297667999984696,0.3647544888081473,,0.4885714285714285,0.5428571428571428,0.5979591836734693,3.44,synthetic,0,0.75,50,50,independent synthetic generation,,,,,,,,,,,,
attribution_scores_only_hier,feature_block_ablation,hier,logistic,train_f1,0.2978359930067328,0.4384372403873575,0.1916666666666666,0.5087378640776699,0.193103448275862,0.5232525758841549,0.5264,0.9076096582740708,0.706060606060606,0.54,0.025177600000461,0.4719553454149212,,0.4885714285714285,0.5428571428571428,0.5979591836734693,3.44,synthetic,0,0.75,50,50,independent synthetic generation,,,,,,,,,,,,
indices_only_hier,feature_block_ablation,hier,logistic,train_f1,0.465167451870386,0.6547679646706699,0.3087248322147651,0.7495682210708118,0.3372093023255814,0.616126718590579,0.7310000000000001,0.9574250248097296,0.8628495339547271,0.54,0.0279145000004064,0.350222522564359,,0.4885714285714285,0.5428571428571428,0.5979591836734693,3.44,synthetic,0,0.75,50,50,independent synthetic generation,,,,,,,,,,,,
hra_plus_spectral_hier,hra_main,hier,logistic,train_f1,0.6742963931481701,0.822530827511215,0.4666666666666667,0.8966480446927374,0.6595744680851063,0.8071243445241396,0.88165,0.9836522690071342,0.9407407407407408,0.58,0.0454258000008849,0.322539814607046,,0.4885714285714285,0.5428571428571428,0.5979591836734693,3.44,synthetic,0,0.75,50,50,independent synthetic generation,,,,,,,,,,,,
