dataset,seed,severity,method,n,top1,top2,mrr,mean_rank
synthetic,0,0.75,supervised_channel_hra_ae_hgb,350,0.8228571428571428,0.9,0.8894286155700684,1.3514286279678345
synthetic,0,0.75,supervised_channel_ae_only_hgb,350,0.8057142857142857,0.8914285714285715,0.8759557008743286,1.445714235305786
synthetic,0,1.0,supervised_channel_hra_ae_hgb,350,0.8714285714285714,0.9514285714285714,0.9260476231575012,1.2000000476837158
synthetic,0,1.0,supervised_channel_ae_only_hgb,350,0.8514285714285714,0.9228571428571428,0.907435417175293,1.3200000524520874
synthetic,0,1.25,supervised_channel_hra_ae_hgb,350,0.94,0.98,0.9660476446151732,1.0885714292526243
synthetic,0,1.25,supervised_channel_ae_only_hgb,350,0.9457142857142856,0.9771428571428572,0.9676666855812072,1.0971428155899048
synthetic,0,1.5,supervised_channel_hra_ae_hgb,350,0.9571428571428572,0.9942857142857144,0.9772380590438844,1.054285764694214
synthetic,0,1.5,supervised_channel_ae_only_hgb,350,0.9628571428571427,0.9857142857142858,0.978428602218628,1.059999942779541
synthetic,0,1.75,supervised_channel_hra_ae_hgb,350,0.9742857142857144,0.9971428571428572,0.9861905574798584,1.0371428728103638
synthetic,0,1.75,supervised_channel_ae_only_hgb,350,0.9685714285714284,0.9828571428571428,0.98033344745636,1.0657142400741575
synthetic,1,0.75,supervised_channel_hra_ae_hgb,350,0.8171428571428572,0.8771428571428571,0.8787210583686829,1.4514285326004028
synthetic,1,0.75,supervised_channel_ae_only_hgb,350,0.8171428571428572,0.8857142857142857,0.8783026933670044,1.4942857027053833
synthetic,1,1.0,supervised_channel_hra_ae_hgb,350,0.8885714285714286,0.9428571428571428,0.9312381148338318,1.222857117652893
synthetic,1,1.0,supervised_channel_ae_only_hgb,350,0.9,0.94,0.9351667165756226,1.2400000095367432
synthetic,1,1.25,supervised_channel_hra_ae_hgb,350,0.9428571428571428,0.9714285714285714,0.9651905298233032,1.1057143211364746
synthetic,1,1.25,supervised_channel_ae_only_hgb,350,0.94,0.9771428571428572,0.9650952219963074,1.100000023841858
synthetic,1,1.5,supervised_channel_hra_ae_hgb,350,0.9714285714285714,0.9885714285714284,0.9828095436096193,1.054285764694214
synthetic,1,1.5,supervised_channel_ae_only_hgb,350,0.9542857142857144,0.9857142857142858,0.9733095169067384,1.085714340209961
synthetic,1,1.75,supervised_channel_hra_ae_hgb,350,0.9714285714285714,0.9857142857142858,0.9821428656578064,1.059999942779541
synthetic,1,1.75,supervised_channel_ae_only_hgb,350,0.9771428571428572,0.9885714285714284,0.9866666793823242,1.0342856645584106
synthetic,2,0.75,supervised_channel_hra_ae_hgb,350,0.8,0.9114285714285716,0.8808367252349854,1.354285717010498
synthetic,2,0.75,supervised_channel_ae_only_hgb,350,0.8,0.8885714285714286,0.8742924928665161,1.4199999570846558
synthetic,2,1.0,supervised_channel_hra_ae_hgb,350,0.8857142857142857,0.9628571428571427,0.93517005443573,1.177142858505249
synthetic,2,1.0,supervised_channel_ae_only_hgb,350,0.8942857142857142,0.9542857142857144,0.93629252910614,1.2057143449783323
synthetic,2,1.25,supervised_channel_hra_ae_hgb,350,0.9428571428571428,0.9828571428571428,0.9677143096923828,1.0885714292526243
